iter	QueryRMSE
0	0.404596313
1	0.4014555325
2	0.3981726877
3	0.3957709817
4	0.3940630193
5	0.3927857061
6	0.391835842
7	0.3911525575
8	0.390654081
9	0.3902452574
10	0.3899471081
11	0.3896929803
12	0.3893830471
13	0.3891619815
14	0.3889874365
15	0.3888400988
16	0.3887203156
17	0.3886239445
18	0.3885493123
19	0.3884617079
20	0.3883867163
21	0.388314328
22	0.3882558178
23	0.3882069811
24	0.388161546
25	0.3881163431
26	0.3880631583
27	0.3880306408
28	0.3879961948
29	0.3879683603
30	0.3879370304
31	0.3879138944
32	0.3878886891
33	0.3878544549
34	0.3878279968
35	0.3878005067
36	0.3877762919
37	0.3877528445
38	0.3877300294
39	0.3877064113
40	0.3876883192
41	0.3876737274
42	0.3876554889
43	0.3876478249
44	0.3876275406
45	0.3876116922
46	0.3875984262
47	0.3875873502
48	0.387581591
49	0.3875676963
50	0.3875555859
51	0.3875439407
52	0.3875343511
53	0.3875300941
54	0.387519254
55	0.3875125132
56	0.3875051139
57	0.3874978885
58	0.3874833025
59	0.387476752
