iter	Passed	Remaining
0	881	51987
1	1543	44748
2	2015	38291
3	2344	32818
4	2932	32261
5	3252	29270
6	3568	27021
7	3905	25382
8	4228	23959
9	4542	22714
10	4852	21616
11	5158	20634
12	5759	20823
13	6069	19941
14	6376	19128
15	6708	18447
16	7015	17745
17	7327	17098
18	7641	16489
19	7964	15929
20	8286	15388
21	8598	14851
22	8921	14351
23	9264	13896
24	9582	13415
25	9893	12938
26	10224	12497
27	10554	12061
28	10863	11613
29	11176	11176
30	11542	10797
31	11856	10374
32	12167	9954
33	12471	9536
34	12767	9119
35	13102	8735
36	13413	8338
37	13759	7965
38	14080	7581
39	14414	7207
40	14735	6828
41	15048	6449
42	15350	6068
43	15643	5688
44	15948	5316
45	16247	4944
46	16549	4577
47	16850	4212
48	17181	3857
49	17502	3500
50	17806	3142
51	18117	2787
52	18428	2433
53	18755	2083
54	19075	1734
55	19379	1384
56	19690	1036
57	20043	691
58	20430	346
59	20803	0
