dim=40260

auxiliary positive rates (train): is_click=0.4634, is_like=0.0187, is_follow=0.0010, is_comment=0.0026, is_forward=0.0010, is_hate=0.0004, is_profile_enter=0.0254, play_complete=0.1734, play_half=0.2977

[1C-control-singletask] CONTROL: T=1 with A frozen at ones is algebraically the kit FM, so this must land on the baseline; if it does not, the multi-task code path is not comparable
[1C-control-singletask] valid primary 0.6022 (+0.0006 vs baseline) -> neutral  [44s]

[1C-aux-is_click-w0.3] Auxiliary signal shares structure with long_view, so supervising it on the shared embedding table should regularize V and improve long_view ranking
[1C-aux-is_click-w0.3] valid primary 0.6011 (-0.0005 vs baseline) -> neutral  [40s]

[1C-aux-is_like-w0.3] Auxiliary signal shares structure with long_view, so supervising it on the shared embedding table should regularize V and improve long_view ranking
[1C-aux-is_like-w0.3] valid primary 0.6021 (+0.0005 vs baseline) -> neutral  [46s]

[1C-aux-is_follow-w0.3] Auxiliary signal shares structure with long_view, so supervising it on the shared embedding table should regularize V and improve long_view ranking
[1C-aux-is_follow-w0.3] valid primary 0.6025 (+0.0009 vs baseline) -> neutral  [46s]

[1C-aux-is_comment-w0.3] Auxiliary signal shares structure with long_view, so supervising it on the shared embedding table should regularize V and improve long_view ranking
[1C-aux-is_comment-w0.3] valid primary 0.6024 (+0.0008 vs baseline) -> neutral  [53s]

[1C-aux-is_forward-w0.3] Auxiliary signal shares structure with long_view, so supervising it on the shared embedding table should regularize V and improve long_view ranking
[1C-aux-is_forward-w0.3] valid primary 0.6025 (+0.0009 vs baseline) -> neutral  [66s]

[1C-aux-is_hate-w0.3] Auxiliary signal shares structure with long_view, so supervising it on the shared embedding table should regularize V and improve long_view ranking
[1C-aux-is_hate-w0.3] valid primary 0.6025 (+0.0009 vs baseline) -> neutral  [68s]

[1C-aux-is_profile_enter-w0.3] Auxiliary signal shares structure with long_view, so supervising it on the shared embedding table should regularize V and improve long_view ranking
[1C-aux-is_profile_enter-w0.3] valid primary 0.6024 (+0.0008 vs baseline) -> neutral  [63s]

[1C-aux-play_complete-w0.3] Auxiliary signal shares structure with long_view, so supervising it on the shared embedding table should regularize V and improve long_view ranking
[1C-aux-play_complete-w0.3] valid primary 0.6017 (+0.0001 vs baseline) -> neutral  [57s]

[1C-aux-play_half-w0.3] Auxiliary signal shares structure with long_view, so supervising it on the shared embedding table should regularize V and improve long_view ranking
[1C-aux-play_half-w0.3] valid primary 0.6007 (-0.0008 vs baseline) -> neutral  [57s]

exp_id                                                           phase    valid    test  d_valid  outcome  s
------------------------------------------------------------------------------------------------------------
1A-bpr-lr0.0002                                                  1A      0.6031  0.5979  +0.0015  neutral  60
1A-bpr-lr0.001                                                   1A      0.6029  0.5965  +0.0013  neutral  16
1A-bpr-lr0.0001                                                  1A      0.6025  0.5975  +0.0009  neutral  84
1G-recency-tau7                                                  1G      0.6025  0.5946  +0.0009  neutral  61
1C-aux-is_forward-w0.3                                           1C      0.6025  0.5959  +0.0009  neutral  66
1C-aux-is_hate-w0.3                                              1C      0.6025  0.5959  +0.0009  neutral  68
1C-aux-is_follow-w0.3                                            1C      0.6025  0.5965  +0.0009  neutral  46
1A-bpr-lr0.0005                                                  1A      0.6024  0.5973  +0.0008  neutral  32
1C-aux-is_comment-w0.3                                           1C      0.6024  0.5964  +0.0008  neutral  53
1H-seedstudy-pointwise-seed1                                     1H      0.6024  0.5950  +0.0008  neutral  60
1C-aux-is_profile_enter-w0.3                                     1C      0.6024  0.5960  +0.0008  neutral  63
1A-control-pointwise                                             1A      0.6022  0.5945  +0.0006  neutral  33
1C-control-singletask                                            1C      0.6022  0.5945  +0.0006  neutral  44
1D-pointwise-k16                                                 1D      0.6022  0.5945  +0.0006  neutral  60
1H-seedstudy-pointwise-seed0                                     1H      0.6022  0.5945  +0.0006  neutral  61
1C-aux-is_like-w0.3                                              1C      0.6021  0.5959  +0.0005  neutral  46
1C-aux-play_complete-w0.3                                        1C      0.6017  0.5956  +0.0001  neutral  57
1B-pointwise-aff-author-causal                                   1B      0.6017  0.5943  +0.0001  neutral  34
1B-pointwise-aff-user_author+user_music-causal                   1B      0.6016  0.5952  -0.0000  neutral  60
1D-pointwise-k8                                                  1D      0.6014  0.5953  -0.0003  neutral  38
1B-pointwise-aff-video-causal                                    1B      0.6012  0.5947  -0.0004  neutral  34
1D-pointwise-k32                                                 1D      0.6011  0.5947  -0.0005  neutral  89
1C-aux-is_click-w0.3                                             1C      0.6011  0.5935  -0.0005  neutral  40
1B-pointwise-aff-user_tab-causal                                 1B      0.6010  0.5939  -0.0006  neutral  30
1B-pointwise-aff-video+author+user_tab+user_dur+user_tag-causal  1B      0.6009  0.5926  -0.0007  neutral  54
1D-pointwise-k64                                                 1D      0.6008  0.5949  -0.0008  neutral  108
1C-aux-play_half-w0.3                                            1C      0.6007  0.5947  -0.0008  neutral  57
1G-recency-tau4                                                  1G      0.6005  0.5929  -0.0011  neutral  59
1A-listwise-lr0.0001                                             1A      0.6002  0.5932  -0.0014  neutral  85
